timestamp,open,high,low,close
1664976600000,29.38,29.62,29.18,29.54
1664977500000,29.62,29.71,29.45,29.51
1664978400000,29.51,29.83,29.47,29.79
1664979300000,29.77,29.94,29.69,29.9
1664980200000,29.87,30.03,29.7,29.72
1664981100000,29.72,29.96,29.72,29.88
1664982000000,29.85,29.91,29.72,29.77
1664982900000,29.76,29.89,29.6,29.64
1664983800000,29.63,29.76,29.46,29.62
1664984700000,29.61,29.76,29.55,29.59
1664985600000,29.6,29.74,29.36,29.45
1664986500000,29.42,29.48,29.25,29.31
1664987400000,29.31,29.4,29.25,29.33
1664988300000,29.36,29.41,29.12,29.24
1664989200000,29.21,29.28,29.05,29.05
1664990100000,29.08,29.11,28.92,29.05
1664991000000,29.04,29.12,28.95,29.02
1664991900000,29.01,29.12,28.92,29.08
1664992800000,29.08,29.13,28.98,29.04
1664993700000,29.05,29.2,28.93,29.06
1664994600000,29.06,29.24,29.04,29.15
1664995500000,29.12,29.24,28.99,29
1664996400000,29.01,29.04,28.76,28.78
1664997300000,28.8,28.99,28.64,28.94
1664998200000,28.94,29.01,28.85,28.86
1664999100000,28.88,29.12,28.84,28.86
1665000000000,28.89,28.94,28.59,28.67
1665000900000,28.71,28.74,28.62,28.68
1665001800000,28.69,28.76,28.65,28.72
1665002700000,28.73,28.83,28.71,28.82
1665003600000,28.82,28.82,28.82,28.82
1665004500000,28.82,28.82,28.82,28.82
1665005400000,28.82,28.82,28.82,28.82
1665006300000,28.82,28.82,28.82,28.82
1665007200000,28.8,28.91,28.71,28.73
1665008100000,28.74,28.74,28.61,28.66
1665009000000,28.67,28.7,28.58,28.7
1665009900000,28.69,28.72,28.65,28.7
1665010800000,28.66,28.78,28.65,28.7
1665011700000,28.69,28.76,28.66,28.74
1665012600000,28.73,28.75,28.62,28.66
1665013500000,28.63,28.65,28.49,28.51
1665014400000,28.55,28.58,28.29,28.33
1665015300000,28.33,28.34,28.1,28.13
1665016200000,28.14,28.23,28.11,28.15
1665017100000,28.16,28.25,28.12,28.21
1665018000000,28.24,28.35,28.2,28.31
1665018900000,28.3,28.35,28.2,28.31
1665019800000,28.3,28.37,28.23,28.3
1665020700000,28.28,28.31,28.14,28.24
1665021600000,28.24,28.32,28.18,28.26
1665022500000,28.25,28.3,28.22,28.26
1665023400000,28.24,28.32,28.22,28.28
1665024300000,28.27,28.28,28.17,28.24
1665025200000,28.22,28.24,28.17,28.19
1665026100000,28.17,28.21,28.13,28.16
